gene,p,q,fc,pct.in,pct.rest,Identity
Ano1,1.62082719199689e-10,6.48330876798756e-10,2.34438615877011,0.269230769230769,0.102026049204052,acinar cell
Gatm,1.89830346619266e-29,1.51864277295413e-28,2.41834929238149,0.747252747252747,0.449348769898698,acinar cell
A230057D06Rik,7.57510703181582e-50,6.06008562545265e-49,2.89754118986386,0.619153674832962,0.226905829596413,beta cell
Blcap,2.4623341112773e-30,1.96986728902184e-29,2.15412279036813,0.621380846325167,0.299551569506726,beta cell
Dact2,7.29954160994043e-28,5.83963328795235e-27,2.01617664523277,0.619153674832962,0.301345291479821,beta cell
Ddc,1.17442033898928e-118,9.39536271191427e-118,3.11484585145937,0.922048997772828,0.352466367713005,beta cell
Ins2,4.95406845481436e-208,3.96325476385149e-207,3.45297672424317,1,0.840358744394619,beta cell
Mapt,6.06060355450197e-72,4.84848284360158e-71,4.18384851565221,0.619153674832962,0.162331838565022,beta cell
Mirg,1.03147103504823e-16,8.25176828038584e-16,3.61668220320554,0.189309576837416,0.0556053811659193,beta cell
Nhlrc1,9.53460536207909e-07,7.62768428966328e-06,2.81615792399725,0.0868596881959911,0.0304932735426009,beta cell
Nnat,1.24565386320059e-21,4.98261545280238e-21,2.3080846330552,0.365256124721604,0.140807174887892,beta cell
Osbpl5,4.62699972291423e-30,3.70159977833138e-29,3.21053361182759,0.349665924276169,0.105829596412556,beta cell
Peg13,4.11713290308186e-52,3.29370632246549e-51,2.55994463969323,0.688195991091314,0.24932735426009,beta cell
Rasgrf1,1.15061632865821e-121,9.20493062926566e-121,6.44606359710917,0.706013363028953,0.101345291479821,beta cell
Rtl1,7.96404441316923e-21,6.37123553053539e-20,2.81075569722192,0.253897550111359,0.0771300448430493,beta cell
Th,1.29119096812055e-94,1.03295277449644e-93,22.861824156553,0.409799554565702,0.0197309417040359,beta cell
Tnfrsf23,4.83212833597373e-14,3.86570266877899e-13,2.31612537125158,0.21826280623608,0.0798206278026906,beta cell
Tssc4,2.72772226395341e-73,2.18217781116273e-72,2.1804620888686,0.959910913140312,0.491479820627803,beta cell
Ano1,1.00186937251055e-116,8.01495498008437e-116,13.2009003302473,0.677018633540373,0.0577334283677833,ductal cell
Cobl,8.92718111939055e-50,7.14174489551244e-49,5.54922800463236,0.62111801242236,0.167498218104063,ductal cell
Fkbp6,8.10053125364161e-26,6.48042500291329e-25,102.080222232031,0.105590062111801,0.00356379187455453,ductal cell
Gab1,4.68770321354958e-34,3.75016257083966e-33,4.91933157423463,0.490683229813665,0.132573057733428,ductal cell
Kcnq1,3.73097436008788e-184,2.9847794880703e-183,22.2794224159284,0.894409937888199,0.0648610121168924,ductal cell
Pde4d,1.87520435753789e-27,1.50016348603031e-26,2.86116485771602,0.683229813664596,0.322166785459729,ductal cell
Slc22a18,6.5754385023145e-48,5.2603508018516e-47,13.1362275427736,0.322981366459627,0.0334996436208125,ductal cell
Slc22a2,1.10343967590542e-54,8.82751740724338e-54,44.7780052854974,0.242236024844721,0.00997861724875267,ductal cell
Smoc1,2.42121254955073e-102,1.93697003964058e-101,15.1001580077915,0.645962732919255,0.0698503207412687,ductal cell
Tgfb1i1,0.000217748848000571,0.00058066359466819,2.3156007569079,0.142857142857143,0.0662865288667142,ductal cell
B3gnt2,2.37083215282792e-07,9.99749090699189e-07,2.04364289073178,0.516666666666667,0.372576177285319,other
Cdkn1c,0.00298951571997846,0.0119580628799138,2.18019596324582,0.183333333333333,0.108725761772853,other
Phactr2,3.14734420495026e-34,2.51787536396021e-33,4.46400026151511,0.666666666666667,0.224376731301939,other
Qk,1.62666640024584e-26,1.30133312019668e-25,3.06450994003549,0.758333333333333,0.344875346260388,other
Tfpi2,0.00200228616573988,0.00800914466295951,3.70936132795574,0.05,0.0145429362880886,other
Tgfb1i1,5.92155475565923e-15,2.36862190226369e-14,4.56316838630507,0.25,0.0595567867036011,other
Tspan32,0.00241091111261507,0.0192872889009206,10.3436568501551,0.0666666666666667,0.0242382271468144,other
Adam23,1.69978635711489e-05,6.79914542845958e-05,2.16767345442941,0.11025641025641,0.0502555366269165,pancreatic A cell
Asb4,4.43872218453258e-26,3.55097774762607e-25,5.01525026497663,0.235897435897436,0.0545144804088586,pancreatic A cell
Calcr,4.61735520083003e-09,3.69388416066403e-08,28.3020628801491,0.041025641025641,0.00340715502555366,pancreatic A cell
Cobl,5.92720396549827e-20,2.37088158619931e-19,2.06967938345314,0.38974358974359,0.15587734241908,pancreatic A cell
Gpr1,0.00265657618329081,0.0212526094663265,3.1096772113103,0.0358974358974359,0.0136286201022147,pancreatic A cell
